stim_ending_t,visbility,soundvolume,Opening_text,Source.Name,m,sd,coefVar
2.5,1,0,Now focus on the Sound,009_visual_demo1.csv,2.971433403,0.403189524,0.135688562
2.5,1,0,Now focus on the Sound,010_visual_demo1.csv,2.354853502,0.338638652,0.143804551
2.5,1,0,Now focus on the Sound,011_visual_demo1.csv,2.238734918,0.328014721,0.146517892
2.5,1,0,Now focus on the Sound,012_visual_demo1.csv,2.302646377,0.474915288,0.2062476
2.5,1,0,Now focus on the Sound,013_visual_demo1.csv,2.780136452,0.433632428,0.155975232
2.5,1,0,Now focus on the Sound,014_visual_demo1.csv,2.639111535,0.46095053,0.174661254
2.5,1,0,Now focus on the Sound,015_visual_demo1.csv,2.369365517,0.351765013,0.148463802
2.5,1,0,Now focus on the Sound,016_visual_demo1.csv,2.102057854,0.392402881,0.186675586
2.5,1,0,Now focus on the Sound,017_visual_demo1.csv,2.461614127,0.557166699,0.226342014
2.5,1,0,Now focus on the Sound,019_visual_demo1.csv,2.317214823,1.082474867,0.467144805
2.5,1,0,Now focus on the Sound,020_visual_demo1.csv,3.502358569,0.532041967,0.151909622
2.5,1,0,Now focus on the Sound,021_visual_demo1.csv,1.63675932,0.563592092,0.344334127
3,0,0,Now focus on the Image,001_visual_demo1.csv,3.506409036,1.073589218,0.306179116
3,0,0,Now focus on the Image,002_visual_demo1.csv,2.968946998,0.480531238,0.161852414
3,0,0,Now focus on the Image,003_visual_demo1.csv,2.539009331,0.459330917,0.180909504
3,0,0,Now focus on the Image,003demo_visual_demo1.csv,2.086052367,0.8095786,0.388091216
3,0,0,Now focus on the Image,004_visual_demo1.csv,2.296093892,0.448168463,0.195187342
3,0,0,Now focus on the Image,005_visual_demo1.csv,1.908821644,0.525281454,0.275186242
3,0,0,Now focus on the Image,006_visual_demo1.csv,2.091636126,0.490473781,0.234492881
3,0,0,Now focus on the Image,007_visual_demo1.csv,2.918843736,0.817934531,0.280225529
3,0,0,Now focus on the Image,008_visual_demo1.csv,2.64069168,0.795849275,0.301379097
3,0,0,Now focus on the Image,009_visual_demo1.csv,2.599568247,0.489822777,0.188424665
3,0,0,Now focus on the Image,010_visual_demo1.csv,2.144084465,0.35981913,0.167819476
3,0,0,Now focus on the Image,011_visual_demo1.csv,2.558236697,0.260058325,0.101655302
3,0,0,Now focus on the Image,012_visual_demo1.csv,2.474251813,0.576395392,0.23295745
3,0,0,Now focus on the Image,013_visual_demo1.csv,2.818628931,0.576117344,0.204396307
3,0,0,Now focus on the Image,014_visual_demo1.csv,2.581019458,0.366723201,0.142084632
3,0,0,Now focus on the Image,015_visual_demo1.csv,2.482737138,0.437602638,0.176258143
3,0,0,Now focus on the Image,016_visual_demo1.csv,1.633678909,0.278505519,0.170477514
3,0,0,Now focus on the Image,017_visual_demo1.csv,3.358724397,0.656484712,0.195456559
3,0,0,Now focus on the Image,019_visual_demo1.csv,3.03507303,0.408712016,0.134662992
3,0,0,Now focus on the Image,020_visual_demo1.csv,3.84449246,0.76999759,0.200285889
3,0,0,Now focus on the Image,021_visual_demo1.csv,1.78085459,0.559166903,0.313987962
3,0,0,Now focus on the Sound,001_visual_demo1.csv,3.276386617,0.699910195,0.21362259
3,0,0,Now focus on the Sound,002_visual_demo1.csv,2.484707089,0.873165281,0.351415781
3,0,0,Now focus on the Sound,003_visual_demo1.csv,2.877446837,0.354506195,0.123201649
3,0,0,Now focus on the Sound,003demo_visual_demo1.csv,2.4299832,0.422626981,0.173921771
3,0,0,Now focus on the Sound,004_visual_demo1.csv,2.50957121,0.452855846,0.180451483
3,0,0,Now focus on the Sound,005_visual_demo1.csv,2.568253421,0.610869599,0.237854097
3,0,0,Now focus on the Sound,006_visual_demo1.csv,2.231078988,0.521530493,0.233757073
3,0,0,Now focus on the Sound,007_visual_demo1.csv,3.020260415,0.695043708,0.230127079
3,0,0,Now focus on the Sound,008_visual_demo1.csv,2.785292811,0.591698039,0.212436566
3,0,0,Now focus on the Sound,009_visual_demo1.csv,3.384549506,0.648460864,0.191594439
3,0,0,Now focus on the Sound,010_visual_demo1.csv,2.216691868,0.225387874,0.101677584
3,0,0,Now focus on the Sound,011_visual_demo1.csv,2.502570503,0.25657118,0.102523058
3,0,0,Now focus on the Sound,012_visual_demo1.csv,2.672842139,0.49499435,0.185194009
3,0,0,Now focus on the Sound,013_visual_demo1.csv,2.726454093,0.719051147,0.26373125
3,0,0,Now focus on the Sound,014_visual_demo1.csv,2.709390642,0.385269632,0.14219789
3,0,0,Now focus on the Sound,015_visual_demo1.csv,2.553127744,0.335003797,0.131213097
3,0,0,Now focus on the Sound,016_visual_demo1.csv,2.64744341,1.453683911,0.549089701
3,0,0,Now focus on the Sound,017_visual_demo1.csv,2.715103772,0.661733422,0.243723068
3,0,0,Now focus on the Sound,019_visual_demo1.csv,2.721889507,0.858425631,0.315378574
3,0,0,Now focus on the Sound,020_visual_demo1.csv,3.931482268,0.740443259,0.188336919
3,0,0,Now focus on the Sound,021_visual_demo1.csv,1.77803473,0.607142002,0.341468022
3,0,1,Now focus on the Image,001_visual_demo1.csv,3.089168482,0.641460647,0.207648321
3,0,1,Now focus on the Image,002_visual_demo1.csv,2.79662426,0.439134858,0.157023188
3,0,1,Now focus on the Image,003_visual_demo1.csv,2.493242167,0.205965381,0.082609457
3,0,1,Now focus on the Image,003demo_visual_demo1.csv,1.792088467,0.37328072,0.20829369
3,0,1,Now focus on the Image,004_visual_demo1.csv,2.261481852,0.530091902,0.234400246
3,0,1,Now focus on the Image,005_visual_demo1.csv,2.365995282,0.694122558,0.293374447
3,0,1,Now focus on the Image,006_visual_demo1.csv,2.503719015,1.469551175,0.586947324
3,0,1,Now focus on the Image,007_visual_demo1.csv,2.893652222,0.963140085,0.332845833
3,0,1,Now focus on the Image,008_visual_demo1.csv,2.40997191,0.535103598,0.222037276
